Industry,Job Title,Business Name,Link,Phone,Email,Website,Street,Suburb,State,Postcode,Full Location,About Us,Products and Services
Education_and_Training,Primary_School_Principal,Ed Space,https://www.yellowpages.com.au/vic/benalla/ed-space-13298719-listing.html,(03) 5762 5543,,,24 Carrier St,Benalla,VIC,3672.0,"24 Carrier St, Benalla VIC 3672",No information available,No information available
Education_and_Training,Primary_School_Principal,Gippsland Grammar,https://www.yellowpages.com.au/vic/sale/gippsland-grammar-15269816-listing.html,(03) 5144 2561,,,409 York St,Sale,VIC,3850.0,"409 York St, Sale VIC 3850",No information available,No information available
Education_and_Training,Primary_School_Principal,Gippsland Grammar,https://www.yellowpages.com.au/vic/sale/gippsland-grammar-15269859-listing.html,(03) 5143 7155,,,52 Raymond St,Sale,VIC,3850.0,"52 Raymond St, Sale VIC 3850",No information available,No information available
Education_and_Training,Primary_School_Principal,St Mary Of The Angels Secondary College,https://www.yellowpages.com.au/vic/nathalia/st-mary-of-the-angels-secondary-college-12303352-listing.html,(03) 5866 2222,,,Chapel St,Nathalia,VIC,3638.0,"Chapel St, Nathalia VIC 3638",No information available,No information available
Education_and_Training,Primary_School_Principal,Wycheproof P12 College,https://www.yellowpages.com.au/vic/wycheproof/wycheproof-p12-college-13321017-listing.html,(03) 5493 7308,,,McKenzie Crst,Wycheproof,VIC,3527.0,"McKenzie Crst, Wycheproof VIC 3527",No information available,No information available
Education_and_Training,Primary_School_Principal,Berrigan Public School,https://www.yellowpages.com.au/vic/berrigan/berrigan-public-school-15051139-listing.html,(03) 5885 2209,,,25-29 Momalong St,Berrigan,VIC,2712.0,"25-29 Momalong St, Berrigan VIC 2712",No information available,No information available
Education_and_Training,Primary_School_Principal,Trinity Anglican College Wodonga,https://www.yellowpages.com.au/vic/baranduda/trinity-anglican-college-wodonga-13196502-listing.html,(02) 6020 9105,,,John Schubert Dr,Baranduda,VIC,3691.0,"John Schubert Dr, Baranduda VIC 3691",No information available,No information available
Education_and_Training,Primary_School_Principal,St Augustine's Primary School,https://www.yellowpages.com.au/nsw/wodonga/st-augustines-primary-school-12938164-listing.html,(02) 6024 2711,,,Osburn St,Wodonga,NSW,3690.0,"Osburn St, Wodonga NSW 3690",No information available,No information available
Education_and_Training,Primary_School_Principal,The Hamilton And Alexandra College,https://www.yellowpages.com.au/vic/hamilton/the-hamilton-and-alexandra-college-13165479-listing.html,(03) 5572 5493,admin@hamiltoncollege.vic.edu.au,http://hamiltoncollege.vic.edu.au,1 Chaucer St,Hamilton,VIC,3300.0,"1 Chaucer St, Hamilton VIC 3300","About The Hamilton And Alexandra College
AT A GLANCE
Local & reliable
Outstanding academic results
On-site extensive playing fields
Accommodation for up to 50 boarders
14 hectares of beautiful grounds
ELC-Year 12 providing small class sizes, broad curriculum, vet, excellent academic results, extensive co-curricular extension.
The Hamilton and Alexandra College is a co-educational day and boarding school. We are extremely proud of our strong history and traditional values and equally proud of our outstanding facilities and innovative educational programs.
Our Mission
The Hamilton and Alexandra College provides an innovative, forward looking and challenging education within an environment of Christian values, encouraging optimum individual achievement and fostering character development through a wide range of endeavours.
The College is highly respected as the prime educational institution in the local and regional community and plays an important role through its community work, leadership programs and co-curricular programs.
Day students commute from as far away as Warrnambool, Portland and Lake Bolac. Our boarders come from rural and regional Australia and overseas.
We are very proud of our outstanding academic results but our students leave College to embrace their future with so much more than a score that will open doors. They are well-rounded, happy students who are equipped with the skills and capacity to be the leaders and problem solvers of the 21st Century. All of our students can pursue exciting sport, music, drama, service and adventure opportunities as well as academic challenges.
Payment Methods
Cash
Visa
PDF
PDF
Life At College
PDF - 1.9mb
PDF
PDF
Student Enrolment Form
PDF - 0.8mb
PDF
PDF
International Student Enrolment
PDF - 0.2mb
PDF
PDF
2013 Fees
PDF - 0.5mb
Show more documents
PDF
PDF
2015 Fees
PDF - 0.6mb
PDF
PDF
2015 International Student Fees
PDF - 0.3mb
ABN
87 006 456 266
Established
1871
Legal ID
Local & reliable","Hours of Operation
Open Monday - Friday
Events
Conferences
Association
Christian
Services
Tutoring
Offering
Boarding School, Co-curricular Activities, Day School, International Baccalaureate, International Students, Literacy, Music, Numeracy, Performing Arts, Sports, Technology
Features
Certified, Church, Delivery, Licensed
Catering To
Primary School, Secondary School
Keywords
Computer Laboratories, Senior Campus, General Sporting Facilities, Co-Educational Hamilton, Private Tuition, Middle Years Positive Education Centre, Career Centre, Classrooms, Schools - Co-Educational, Equestrian Centre, Intensive English Language Preparation Program, Helen Handbury Science Centre, Geoff Handbury Sports Centre, Hamilton, Junior Campus, Boarding Houses, Schools"
Education_and_Training,Primary_School_Principal,Creek St Christian College,https://www.yellowpages.com.au/vic/bendigo/creek-st-christian-college-13063475-listing.html,(03) 5442 1722,info@creekstreet.vic.edu.au,http://www.creekstreet.vic.edu.au,91 Creek St,Bendigo,VIC,3550.0,"91 Creek St, Bendigo VIC 3550","About Creek St Christian College
AT A GLANCE
Providing Daily Bible Based Teaching
Maintaining Up To Date Facilities And Resources
Providing A High Standard Of Education
Positive And Encouraging Environment
Develop A Positive And Wholesome Outlook On Life
Providing affordable, quality Christian education within a disciplined and caring environment
Creek Street Christian College is Prep to Year 10 co-educational College seeking to provide Christian families with a Christ-centred environment in which their children can learn and develop.
Creek Street Christian College has been established to provide families with a Christian education, within a caring and disciplined environment that will enable children to fully develop their God-given talents and academic abilities, so that they are able to contribute effectively to the changing society of which they are a part. We believe that the opportunities we present to the students will form a strong foundation for the remainder of their lives, regardless of their future paths. This includes their academic, physical, emotional and spiritual wellbeing.
The College encourages and supports students to develop a positive and wholesome outlook on life, to become self-disciplined people and to be responsible and caring members of the community. The Student Services at Creeks Street consists of various team members. This consists of a Head of Students Services as well as several other experienced teachers and support workers.  We are very blessed to have our chaplains as part of our Students Services.
Our learning spaces provide a safe, stimulating, and engaging learning environment and embrace natural elements of light and space.
Creek Street Christian College has always aimed to provide a high standard of education while reflecting a contemporary curriculum and maintaining the freedom to embrace additional learning activities as appropriate to a Christian school. Junior, middle and senior school learning experiences include daily Bible based teachings. Parents who would like to find out more about Creek Street Christian College are encouraged to enquire further by requesting an Information Pack. Our Information Pack includes a Parent Handbook, Fee Schedule and Enrolment Request Form.
Payment Methods
Cash
Cheques
PDF
PDF
BYOD Requirements
PDF - 0.3mb
ABN
64 030 753 819
Staff
21-50
Established
1981","Hours of Operation
Flexible Hours, Open Monday - Friday, Open Saturdays
Association
Christian
Offering
Co-curricular Activities, Day School, Literacy, Music, Numeracy, Performing Arts, Sports, Technology
Features
ASC, Church, Delivery
Catering To
Primary School, Secondary School
Keywords
Interdemoninational, Secondary, Guide, Worship Teams, Online Safety Hub, Scholarships, Lunchtime Activities, LMS (Compass), Early Learning Centre, Uniform, Safe, Christian College, Extra Curricular, Student Missions Trip, Bring Your Own Device, Energy Breakthrough Program, International Baccalaureate, Co-educational, Primary, Sister School"
Education_and_Training,Primary_School_Principal,St Josephs Primary School,https://www.yellowpages.com.au/vic/warrnambool/st-josephs-primary-school-13626548-listing.html,(03) 5561 1343,cduyn@sjwarrnambool.catholic.edu.au,http://www.sjwarrnambool.catholic.edu.au,70 Botanic Rd,Warrnambool,VIC,3280.0,"70 Botanic Rd, Warrnambool VIC 3280","About St Josephs Primary School
A Catholic educational community striving to provide a school environment filled with hope, passion, fun and outstanding learning.
Payment Methods
BPAY
Cash
Cheques
Direct Debit
EFT
EFTPOS
Mastercard
Visa
ABN
54 915 185 366
Staff
51-100","Hours of Operation
Open Monday - Friday
Association
Catholic
Offering
Day School, Diverse Curriculum, International Students, Literacy, Music, Numeracy, Performing Arts, Special Needs, Sports, Technology
Features
Certified
Catering To
Primary School"
Education_and_Training,Primary_School_Principal,Bayview College,https://www.yellowpages.com.au/vic/portland/bayview-college-12845739-listing.html,(03) 5523 1042,principal@bayview.vic.edu.au,http://www.bayview.vic.edu.au,119 Bentinck St,Portland,VIC,3305.0,"119 Bentinck St, Portland VIC 3305","ABN
25 005 371 344","Catering To
Secondary School"
Education_and_Training,Primary_School_Principal,St Marys College,https://www.yellowpages.com.au/vic/seymour/st-marys-college-13065735-listing.html,(03) 5792 2611,office@smseymour.catholic.edu.au,http://www.smseymour.catholic.edu.au,90 High St,Seymour,VIC,3660.0,"90 High St, Seymour VIC 3660","ABN
96 718 795 784","Keywords
Pastoral Care, Assessment and Learning, Arts and Technology, ICT Information, Curriculum Overview"
Education_and_Training,Primary_School_Principal,Our Lady's Help of Christians,https://www.yellowpages.com.au/vic/murtoa/our-ladys-help-of-christians-13467069-listing.html,(03) 5385 2526,,,Munro St,Murtoa,VIC,3390.0,"Munro St, Murtoa VIC 3390",No information available,No information available
Education_and_Training,Primary_School_Principal,Castlemaine Steiner School & Kindergarten,https://www.yellowpages.com.au/vic/muckleford/castlemaine-steiner-school-kindergarten-15741961-listing.html,(03) 5479 2000,enquiries@cssk.vic.edu.au,http://www.cssk.vic.edu.au,11 Rilens Rd,Muckleford,VIC,3451.0,"11 Rilens Rd, Muckleford VIC 3451","Payment Methods
Cash
Direct Debit
EFT
EFTPOS
Mastercard
Visa
ABN
69 739 042 634
Staff
21-50
Established
1990","Hours of Operation
Open Monday - Friday
Association
Non-denominational
Offering
Day School, Diverse Curriculum, Literacy, Music, Numeracy, Performing Arts, Special Needs, Sports, Technology
Features
Family Rates, Government Discounts
Catering To
Kindergarten, Preschool, Primary School, Secondary School"
Education_and_Training,Primary_School_Principal,Oakleigh Grammar,https://www.yellowpages.com.au/vic/oakleigh/oakleigh-grammar-13833415-listing.html,(03) 9569 6128,bookings@oakleighgrammar.vic.edu.au,http://www.oakleighgrammar.vic.edu.au,78-81 Willesden Rd,Oakleigh,VIC,3166.0,"78-81 Willesden Rd, Oakleigh VIC 3166","Payment Methods
Visa
ABN
32 337 676 694
Established
1983","Hours of Operation
Open Monday - Friday
Association
Christian
Services
Child Care, Counselling
Offering
International Baccalaureate, Literacy, Music, Numeracy, Performing Arts, Sports, Technology
Features
Accredited, By Appointment, Church, Delivery
Catering To
Kindergarten, Preschool, Secondary School"
Education_and_Training,Primary_School_Principal,Melton Christian College,https://www.yellowpages.com.au/vic/brookfield/melton-christian-college-15097491-listing.html,(03) 9732 3000,office@ncc.vic.edu.au,http://www.mcc.vic.edu.au,152-156 Brooklyn Rd,Brookfield,VIC,3338.0,"152-156 Brooklyn Rd, Brookfield VIC 3338","Payment Methods
Cash
Cheques
EFTPOS
Mastercard
Visa
ABN
17 007 289 474
Established
1985","Hours of Operation
Open Monday - Friday
Association
Christian
Services
Child Care, Counselling, Tutoring
Offering
Co-curricular Activities, Day School, Diverse Curriculum, International Students, Literacy, Music, Numeracy, Performing Arts, Special Needs, Sports, Technology, University Entry
Features
Bookshops, Certified, Church, Licensed
Catering To
Kindergarten, Preschool, Primary School, Secondary School"
Education_and_Training,Primary_School_Principal,Monivae College,https://www.yellowpages.com.au/vic/hamilton/monivae-college-12105122-listing.html,(03) 5551 1200,reception@monivae.vic.edu.au,http://www.monivae.com,133 Ballarat Rd,Hamilton,VIC,3300.0,"133 Ballarat Rd, Hamilton VIC 3300","Payment Methods
Cash
EFT
EFTPOS
Established
1954
Legal ID
A healthy and safe environment","Association
Catholic, Christian
Services
Counselling, Tutoring
Offering
Boarding School, Co-curricular Activities, Day School, Literacy, Music, Numeracy, Performing Arts, Special Needs, Sports, Technology
Features
Accredited, By Appointment, Certified, Church, Conservatorium, Delivery, RTO
Catering To
Secondary School"
Education_and_Training,Primary_School_Principal,Woodleigh School,https://www.yellowpages.com.au/vic/frankston-south/woodleigh-school-15666571-listing.html,(03) 9788 6488,minimbah@woodleigh.vic.edu.au,https://www.woodleigh.vic.edu.au,Minimbah Ct,Frankston South,VIC,3199.0,"Minimbah Ct, Frankston South VIC 3199",No information available,"Offering
Co-curricular Activities, Music, Special Needs, Sports, Technology
Services
Child Care"
Education_and_Training,Primary_School_Principal,Maranatha Christian School,https://www.yellowpages.com.au/vic/endeavour-hills/maranatha-christian-school-14554217-listing.html,(03) 9709 7209,receptioncsc@maranatha.vic.edu.au,http://www.maranatha.vic.edu.au,,Endeavour Hills,VIC,3802,Endeavour Hills VIC 3802,"Established
1970",No information available
Education_and_Training,Primary_School_Principal,Christian College Geelong,https://www.yellowpages.com.au/vic/drysdale/christian-college-geelong-13784797-listing.html,(03) 5253 2998,enquire@ccg.vic.edu.au,http://www.christiancollege.vic.edu.au,40 Collins St,Drysdale,VIC,3222.0,"40 Collins St, Drysdale VIC 3222","Established
1980",No information available
Education_and_Training,Primary_School_Principal,Mildura Christian College,https://www.yellowpages.com.au/vic/irymple/mildura-christian-college-13041667-listing.html,(03) 5024 5310,admin@milduracc.vic.edu.au,http://www.milduracc.vic.edu.au,,Irymple,VIC,3498,Irymple VIC 3498,"Established
1981",No information available
Education_and_Training,Primary_School_Principal,Edmund Rice Education Australia,https://www.yellowpages.com.au/vic/richmond/edmund-rice-education-australia-1000002203719-listing.html,(03) 9426 3200,info@erea.edu.au,http://www.erea.edu.au,9 The Vaucluse,Richmond,VIC,3121.0,"9 The Vaucluse, Richmond VIC 3121",No information available,No information available
Education_and_Training,Primary_School_Principal,St. James Catholic Primary School,https://www.yellowpages.com.au/vic/brighton/st-james-catholic-primary-school-12078544-listing.html,(03) 9596 4766,info@stjamesbrighton.catholic.edu.au,https://www.stjamesbrighton.catholic.edu.au,6 St. James Cl,Brighton,VIC,3186.0,"6 St. James Cl, Brighton VIC 3186",No information available,No information available
Education_and_Training,Primary_School_Principal,Hamilton & Alexandra College The,https://www.yellowpages.com.au/vic/hamilton/hamilton-alexandra-college-the-14983629-listing.html,(03) 5572 1847,jsreception@hamiltoncollege.vic.edu.au,http://www.hamiltoncollege.vic.edu.au,Kent Rd,Hamilton,VIC,3300.0,"Kent Rd, Hamilton VIC 3300",No information available,No information available
Education_and_Training,Primary_School_Principal,St Mary's Primary School,https://www.yellowpages.com.au/vic/swan-hill/st-marys-primary-school-13471248-listing.html,(03) 5033 2541,office@smswanhill.catholic.edu.au,http://www.smswanhill.catholic.edu.au,2 Murlong St,Swan Hill,VIC,3585.0,"2 Murlong St, Swan Hill VIC 3585",No information available,No information available
Education_and_Training,Primary_School_Principal,Carey Baptist Grammar School,https://www.yellowpages.com.au/vic/donvale/carey-baptist-grammar-school-15553412-listing.html,(03) 9842 2166,donvale@carey.com.au,http://www.carey.com.au,9 Era Ct,Donvale,VIC,3111.0,"9 Era Ct, Donvale VIC 3111",No information available,No information available
Education_and_Training,Primary_School_Principal,Trinity College Colac Inc.,https://www.yellowpages.com.au/vic/colac/trinity-college-colac-inc-14862246-listing.html,(03) 5233 9200,,http://www.tcc.vic.edu.au,119 Hart St,Colac,VIC,3250.0,"119 Hart St, Colac VIC 3250",No information available,No information available
Education_and_Training,Primary_School_Principal,Dromana College,https://www.yellowpages.com.au/vic/dromana/dromana-college-14829407-listing.html,(03) 5987 2805,Dromana.sc@edumail.vic.gov.au,http://www.dsc.vic.edu.au,110 Harrison Rd,Dromana,VIC,3936.0,"110 Harrison Rd, Dromana VIC 3936","Payment Methods
Direct Deposit
EFTPOS
Staff
101-200
Established
1967","Services
Chaplaincy, Counselling, Enrolments, Student Services, Tutoring
Offering
Boys, Cadets, Co-educational, Distance Education, English, German, Girls, Hockey, Humanities, Indonesian, Information Technology, Italian, Japanese, Languages, Latin, Literacy, Mathematics, Multimedia, Music, Numeracy, Outdoor Education, Performing Arts, Physical Education, Rugby, Science, Spanish, Special, Sports, Tennis, Visual Arts, Vocational
Features
Accredited, Canteen, Child Care, Financial Assistance, Garden, Guaranteed, Gymnasium, Indoor Sports, Kitchens, Laboratories, Language Centre, Library, Medical, Multi Purpose, Music Centre, Oval, Performing Arts Centre, Pool, Registered, Scholarships, Theatre, Workshops
Catering To
International Students, Post-secondary, Primary, Secondary"
Education_and_Training,Primary_School_Principal,Baimbridge College,https://www.yellowpages.com.au/vic/hamilton/baimbridge-college-12959377-listing.html,(03) 5572 2788,baimbridge.co@edumail.vic.gov.au,http://www.baimbridge-co.vic.edu.au,85 Stephen St,Hamilton,VIC,3300.0,"85 Stephen St, Hamilton VIC 3300","Payment Methods
Cash
EFTPOS
Visa","Services
Counselling, Enrolments, School Tours
Offering
Boys, Co-educational, English, Girls, Hockey, Humanities, Italian, Literacy, Mathematics, Music, Numeracy, Outdoor Education, Physical Education, Rugby, Science, Special, Sports, Tennis, Vocational
Features
Accredited, Farm, Gymnasium, Kitchens, Library, Medical, Music Centre, Oval, Performing Arts Centre, Pool, Scholarships
Catering To
Kindergarten, Primary, Secondary"
Education_and_Training,Primary_School_Principal,Haddon Primary School,https://www.yellowpages.com.au/vic/haddon/haddon-primary-school-12291765-listing.html,(03) 4344 4139,haddon.ps@edumail.vic.gov.au,http://haddonps.vic.edu.au,398 Sago Hill Rd,Haddon,VIC,3351.0,"398 Sago Hill Rd, Haddon VIC 3351","ABN
44 193 947 837",No information available
Education_and_Training,Primary_School_Principal,Richmond High School,https://www.yellowpages.com.au/vic/richmond/richmond-high-school-1000002324764-listing.html,(03) 8396 6399,richmond.hs@edumail.vic.gov.au,https://rhs.vic.edu.au,Griffiths Campus 4 Griffiths St,Richmond,VIC,3121.0,"Griffiths Campus 4 Griffiths St, Richmond VIC 3121",No information available,No information available
Education_and_Training,Primary_School_Principal,Mount Alexander College,https://www.yellowpages.com.au/vic/flemington/mount-alexander-college-13500476-listing.html,(03) 9376 1622,mount.alexander.712@edumail.vic.gov.au,http://www.mountalexandercollege.vic.edu.au,167- 175 Mount Alexander Rd,Flemington,VIC,3031.0,"167- 175 Mount Alexander Rd, Flemington VIC 3031",No information available,No information available
Education_and_Training,Primary_School_Principal,Glenroy Specialist School,https://www.yellowpages.com.au/vic/glenroy/glenroy-specialist-school-12602526-listing.html,(03) 9304 2263,glenroy.ss@edumail.vic.gov.au,https://www.glenroyss.vic.edu.au,208 Hilton St,Glenroy,VIC,3046.0,"208 Hilton St, Glenroy VIC 3046",No information available,No information available
Education_and_Training,Primary_School_Principal,Templestowe Park Primary School,https://www.yellowpages.com.au/vic/templestowe/templestowe-park-primary-school-14607589-listing.html,(03) 9846 2700,templestowe.park.ps@edumail.vic.gov.au,http://www.templestoweparkps.vic.edu.au,399 Church Rd,Templestowe,VIC,3106.0,"399 Church Rd, Templestowe VIC 3106",No information available,No information available
Education_and_Training,Primary_School_Principal,St Helena Secondary College,https://www.yellowpages.com.au/vic/eltham-north/st-helena-secondary-college-13303982-listing.html,(03) 9438 8500,st.helena.sc@edumail.vic.gov.au,http://www.sthelena.vic.edu.au,Wallowa Rd,Eltham North,VIC,3095.0,"Wallowa Rd, Eltham North VIC 3095",No information available,No information available
Education_and_Training,Primary_School_Principal,Truganina South Primary School,https://www.yellowpages.com.au/vic/truganina/truganina-south-primary-school-15192272-listing.html,(03) 9296 1800,truganina.south.ps@edumail.vic.gov.au,http://www.truganinasouthps.vic.edu.au,3-19 Parkvista Dr,Truganina,VIC,3029.0,"3-19 Parkvista Dr, Truganina VIC 3029",No information available,No information available
Education_and_Training,Primary_School_Principal,Heathmont College,https://www.yellowpages.com.au/vic/heathmont/heathmont-college-13039688-listing.html,(03) 9871 4888,heathmont.co@edumail.vic.gov.au,https://www.heathmont.vic.edu.au,Waters Gr,Heathmont,VIC,3135.0,"Waters Gr, Heathmont VIC 3135",No information available,No information available
Education_and_Training,Primary_School_Principal,Athol Road Primary School,https://www.yellowpages.com.au/vic/springvale-south/athol-road-primary-school-12723529-listing.html,(03) 9547 1224,athol.road.ps@edumail.vic.gov.au,http://www.atholroadps.vic.edu.au,159 Athol Rd,Springvale South,VIC,3172.0,"159 Athol Rd, Springvale South VIC 3172",No information available,No information available
Education_and_Training,Primary_School_Principal,Lyndale Secondary College,https://www.yellowpages.com.au/vic/dandenong-north/lyndale-secondary-college-11952019-listing.html,(03) 9795 2366,lyndale.sc@edumail.vic.gov.au,http://lyndale.vic.edu.au,170-174 Gladstone Rd,Dandenong North,VIC,3175.0,"170-174 Gladstone Rd, Dandenong North VIC 3175",No information available,No information available
Education_and_Training,Primary_School_Principal,Hallam Primary School,https://www.yellowpages.com.au/vic/hallam/hallam-primary-school-14985280-listing.html,(03) 9703 1536,hallam.ps@edumail.vic.gov.au,http://www.hallam-ps.vic.edu.au,24 Harmer Rd,Hallam,VIC,3803.0,"24 Harmer Rd, Hallam VIC 3803",No information available,No information available
Education_and_Training,Primary_School_Principal,Sunbury College,https://www.yellowpages.com.au/vic/sunbury/sunbury-college-15609583-listing.html,(03) 9744 1066,sunbury.co@edumail.vic.gov.au,http://www.sunburysc.vic.edu.au,30 Racecourse Rd,Sunbury,VIC,3429.0,"30 Racecourse Rd, Sunbury VIC 3429",No information available,No information available
Education_and_Training,Primary_School_Principal,Lilydale High School,https://www.yellowpages.com.au/vic/lilydale/lilydale-high-school-12594499-listing.html,(03) 9735 5644,lilydale.hs@edumail.vic.gov.au,http://lilydalehs.vic.edu.au,25 Melba Ave,Lilydale,VIC,3140.0,"25 Melba Ave, Lilydale VIC 3140","ABN
15 520 330 948",No information available
Education_and_Training,Primary_School_Principal,Coburn Primary School,https://www.yellowpages.com.au/vic/melton-south/coburn-primary-school-12703949-listing.html,(03) 9971 2900,coburn.ps@edumail.vic.gov.au,http://www.coburnps.vic.edu.au,Richard Rd,Melton South,VIC,3338.0,"Richard Rd, Melton South VIC 3338","ABN
69 665 602 283",No information available
Education_and_Training,Primary_School_Principal,Melton Secondary College,https://www.yellowpages.com.au/vic/melton/melton-secondary-college-12172434-listing.html,(03) 9743 3322,melton.sc@edumail.vic.gov.au,http://www.meltonsc.vic.edu.au,Coburns Rd,Melton,VIC,3337.0,"Coburns Rd, Melton VIC 3337",No information available,No information available
Education_and_Training,Primary_School_Principal,Pakenham Secondary College,https://www.yellowpages.com.au/vic/pakenham/pakenham-secondary-college-12564161-listing.html,(03) 5945 1433,pakenham.sc@edumail.vic.gov.au,http://pakenhamsc.vic.edu.au,1020 Princes Hwy,Pakenham,VIC,3810.0,"1020 Princes Hwy, Pakenham VIC 3810",No information available,No information available
Education_and_Training,Primary_School_Principal,Rubicon Outdoor Centre,https://www.yellowpages.com.au/vic/nayook/rubicon-outdoor-centre-15237790-listing.html,(03) 5628 4210,rubicon.oc@edumail.vic.gov.au,http://www.rubicon.vic.edu.au,610 Nayook Powelltown Rd,Nayook,VIC,3832.0,"610 Nayook Powelltown Rd, Nayook VIC 3832",No information available,No information available
Education_and_Training,Primary_School_Principal,Traralgon College,https://www.yellowpages.com.au/vic/traralgon/traralgon-college-13660547-listing.html,(03) 5176 2240,traralgon.co@edumail.vic.gov.au,https://www.traralsc.vic.edu.au,154-184 Grey St,Traralgon,VIC,3844.0,"154-184 Grey St, Traralgon VIC 3844",No information available,No information available
Education_and_Training,Primary_School_Principal,Ararat Primary School,https://www.yellowpages.com.au/vic/ararat/ararat-primary-school-12979816-listing.html,(03) 5352 1253,ararat.ps@edumail.vic.gov.au,http://www.araratps.vic.edu.au,70-78 Moore St,Ararat,VIC,3377.0,"70-78 Moore St, Ararat VIC 3377",No information available,No information available
Education_and_Training,Primary_School_Principal,Warrnambool College,https://www.yellowpages.com.au/vic/warrnambool/warrnambool-college-12653534-listing.html,(03) 5564 4444,warrnambool.co@edumail.vic.gov.au,http://www.wblcoll.vic.edu.au,Grafton Rd,Warrnambool,VIC,3280.0,"Grafton Rd, Warrnambool VIC 3280",No information available,No information available
Education_and_Training,Primary_School_Principal,East Gippsland Specialist School,https://www.yellowpages.com.au/vic/bairnsdale/east-gippsland-specialist-school-1000002121847-listing.html,(03) 5152 6426,east.gippsland.ss@edumail.vic.gov.au,http://www.eastgippslandss.vic.edu.au,31 Calvert St,Bairnsdale,VIC,3875.0,"31 Calvert St, Bairnsdale VIC 3875","ABN
86 297 814 364",No information available
Education_and_Training,Primary_School_Principal,Tyrrell College,https://www.yellowpages.com.au/vic/sea-lake/tyrrell-college-12866085-listing.html,(03) 5070 2106,tyrrell.co@edumail.vic.gov.au,http://www.tyrrell.vic.edu.au,10 Sutcliff St,Sea Lake,VIC,3533.0,"10 Sutcliff St, Sea Lake VIC 3533",No information available,No information available
Education_and_Training,Primary_School_Principal,Mt Waverley Primary,https://www.yellowpages.com.au/vic/mt-waverley/mt-waverley-primary-12269331-listing.html,(03) 9807 1480,mount.waverley.ps@edumail.vic.gov.au,http://www.mountwaverleyps.vic.edu.au,Park Lane,Mt Waverley,VIC,3149.0,"Park Lane, Mt Waverley VIC 3149",No information available,No information available
Education_and_Training,Primary_School_Principal,Wallan Secondary College,https://www.yellowpages.com.au/vic/wallan/wallan-secondary-college-15004538-listing.html,(03) 5783 0300,wallan.sc@edumail.vic.gov.au,https://www.wallansc.vic.edu.au,100 Duke St,Wallan,VIC,3756.0,"100 Duke St, Wallan VIC 3756",No information available,No information available
Education_and_Training,Primary_School_Principal,Banksia La Trobe Secondary College Deaf Facility,https://www.yellowpages.com.au/vic/macleod-west/banksia-la-trobe-secondary-college-deaf-facility-15750917-listing.html,(03) 9223 1400,,http://www.charleslatrobecollege.vic.edu.au,235 Kingsbury Dr,Macleod West,VIC,3085.0,"235 Kingsbury Dr, Macleod West VIC 3085",No information available,No information available
Education_and_Training,Primary_School_Principal,Wheelers Hill Secondary College,https://www.yellowpages.com.au/vic/wheelers-hill/wheelers-hill-secondary-college-12157170-listing.html,(03) 9561 5811,,http://www.whsc.vic.edu.au,Raphael Dr,Wheelers Hill,VIC,3150.0,"Raphael Dr, Wheelers Hill VIC 3150",No information available,No information available
Education_and_Training,Primary_School_Principal,Chilwell Primary School,https://www.yellowpages.com.au/vic/newtown/chilwell-primary-school-12782337-listing.html,(03) 5221 2738,,http://chilwellps.vic.edu.au,313A Pakington St,Newtown,VIC,3220.0,"313A Pakington St, Newtown VIC 3220",No information available,No information available
Education_and_Training,Primary_School_Principal,Wedderburn College,https://www.yellowpages.com.au/vic/wedderburn/wedderburn-college-15206914-listing.html,(03) 5494 3011,,http://www.wedderburn-college.vic.edu.au,15-29 Hospital St,Wedderburn,VIC,3518.0,"15-29 Hospital St, Wedderburn VIC 3518",No information available,No information available
Education_and_Training,Primary_School_Principal,Loreto Mandeville Hall Toorak,https://www.yellowpages.com.au/vic/toorak/loreto-mandeville-hall-toorak-13374428-listing.html,(03) 9823 8100,admissions@loretotoorak.vic.edu.au,http://www.loretotoorak.vic.edu.au,10 Mandeville Crescent,Toorak,VIC,3142.0,"10 Mandeville Crescent, Toorak VIC 3142",No information available,No information available
Education_and_Training,Primary_School_Principal,Mercy Diocesan College,https://www.yellowpages.com.au/vic/coburg-north/mercy-diocesan-college-12790098-listing.html,(03) 9319 9299,info@mercycoburg.catholic.edu.au,http://www.mercycoburg.catholic.edu.au,760 Sydney Rd,Coburg North,VIC,3058.0,"760 Sydney Rd, Coburg North VIC 3058",No information available,No information available
Education_and_Training,Library_Technician,Sandringham Library Bayside Library Service,https://www.yellowpages.com.au/vic/sandringham/sandringham-library-bayside-library-service-14049473-listing.html,(03) 9261 7810,baysidelibrary@bayside.vic.gov.au,http://www.bayside.vic.gov.au/library,2- 8 Waltham St,Sandringham,VIC,3191.0,"2- 8 Waltham St, Sandringham VIC 3191","Payment Methods
Cash
EFTPOS","Hours of Operation
Open Evenings, Open Monday - Friday, Open Saturdays, Open Sundays
Services
Copying & Printing, Information Services, Lending, Memberships, Online Access, Reference & Research, User Support
Offering
Architecture, Art, Books, Business, Children's services, Community Information, Databases, Digital Images, Disability Access, eAudiobooks, eBooks, eReaders, Events & Activities, Food, Health, History, Home Library Service, Indigenous, IT & Internet Access, Journals, Law, Learning Programs, Multicultural Services, Music, Music Online, Newspapers, Online Information, Photography, Research Tools, Social Media, Storytime, Websites, Youth Services
Catering To
Public"
